"","CellType","seurat_clusters","freq","RelFreq","Sample","Bias"
"30","lymphoid",1,22,0.0497737556561086,"Old","Other"
"27","lymphoid",2,21,0.0475113122171946,"Old","Other"
"16","lymphoid",3,16,0.0361990950226244,"Old","Other"
"22","lymphoid",4,16,0.0361990950226244,"Old","Other"
"31","lymphoid",5,13,0.0294117647058824,"Old","Other"
"19","lymphoid",6,11,0.0248868778280543,"Old","Other"
"2","lymphoid",7,10,0.0226244343891403,"Old","Other"
"5","lymphoid",8,10,0.0226244343891403,"Old","Other"
"20","lymphoid",9,10,0.0226244343891403,"Old","Other"
"21","lymphoid",10,10,0.0226244343891403,"Old","Other"
"12","lymphoid",11,9,0.0203619909502262,"Old","Other"
"17","lymphoid",12,8,0.0180995475113122,"Old","Other"
"11","lymphoid",13,6,0.0135746606334842,"Old","Other"
"15","lymphoid",14,6,0.0135746606334842,"Old","Other"
"24","lymphoid",15,6,0.0135746606334842,"Old","Other"
"18","lymphoid",16,5,0.0113122171945701,"Old","Other"
"25","lymphoid",17,5,0.0113122171945701,"Old","Other"
"6","lymphoid",18,4,0.00904977375565611,"Old","Other"
"7","lymphoid",19,4,0.00904977375565611,"Old","Other"
"23","lymphoid",20,4,0.00904977375565611,"Old","Other"
"3","lymphoid",21,3,0.00678733031674208,"Old","Immature"
"4","lymphoid",22,3,0.00678733031674208,"Old","Immature"
"9","lymphoid",23,3,0.00678733031674208,"Old","Other"
"10","lymphoid",24,3,0.00678733031674208,"Old","Other"
"13","lymphoid",25,3,0.00678733031674208,"Old","Other"
"28","lymphoid",26,3,0.00678733031674208,"Old","Other"
"1","lymphoid",27,2,0.00452488687782805,"Old","Immature"
"8","lymphoid",28,2,0.00452488687782805,"Old","Immature"
"29","lymphoid",29,2,0.00452488687782805,"Old","Immature"
"14","lymphoid",30,1,0.00226244343891403,"Old","Immature"
"26","lymphoid",31,1,0.00226244343891403,"Old","Immature"
"131","lymphoid",1,36,0.0587275693311582,"Young","Other"
"191","lymphoid",2,31,0.0505709624796085,"Young","Immature"
"210","lymphoid",3,26,0.0424143556280587,"Young","Other"
"51","lymphoid",4,21,0.034257748776509,"Young","Other"
"201","lymphoid",5,18,0.0293637846655791,"Young","Other"
"211","lymphoid",6,15,0.0244698205546493,"Young","Other"
"110","lymphoid",7,13,0.0212071778140294,"Young","Other"
"61","lymphoid",8,13,0.0212071778140294,"Young","Other"
"161","lymphoid",9,11,0.0179445350734095,"Young","Other"
"241","lymphoid",10,11,0.0179445350734095,"Young","Immature"
"221","lymphoid",11,10,0.0163132137030995,"Young","Other"
"231","lymphoid",12,10,0.0163132137030995,"Young","Other"
"71","lymphoid",13,9,0.0146818923327896,"Young","Other"
"81","lymphoid",14,9,0.0146818923327896,"Young","Other"
"171","lymphoid",15,9,0.0146818923327896,"Young","Other"
"251","lymphoid",16,9,0.0146818923327896,"Young","Other"
"101","lymphoid",17,8,0.0130505709624796,"Young","Other"
"32","lymphoid",18,7,0.0114192495921697,"Young","Immature"
"91","lymphoid",19,7,0.0114192495921697,"Young","Immature"
"181","lymphoid",20,6,0.00978792822185971,"Young","Other"
"151","lymphoid",21,5,0.00815660685154975,"Young","Immature"
"41","lymphoid",22,4,0.0065252854812398,"Young","Other"
"121","lymphoid",23,4,0.0065252854812398,"Young","Other"
"111","lymphoid",24,3,0.00489396411092985,"Young","Immature"
"141","lymphoid",25,3,0.00489396411092985,"Young","Immature"
